Category,PR,Title,MergedAt,Labels,URL
"Secrets / Config",365,"fix(secrets): image → images 시크릿 네이밍 통일","2026-01-09T18:26:11Z","bug","https://github.com/eco2-team/backend/pull/365"
"Clean Architecture",364,"refactor: image → images 전체 통일 + CI 수정","2026-01-09T17:42:17Z","refactor","https://github.com/eco2-team/backend/pull/364"
"Clean Architecture",363,"fix(ci): apps/ 마이그레이션 CI 수정 + domains/_base 제거","2026-01-09T16:09:44Z","bug","https://github.com/eco2-team/backend/pull/363"
"Clean Architecture",362,"fix(ci): apps/ 마이그레이션 후 CI 및 테스트 경로 수정","2026-01-09T15:59:42Z","bug","https://github.com/eco2-team/backend/pull/362"
"Clean Architecture",361,"refactor: 인프라 서비스 apps/ 마이그레이션 + DB/Redis 연결 정규화","2026-01-09T15:11:08Z","infrastructure;Kustomize;refactor","https://github.com/eco2-team/backend/pull/361"
"Domain APIs",360,"fix(image): Redis 연결 재시도 로직 추가 및 설정 개선","2026-01-09T11:48:57Z","fix","https://github.com/eco2-team/backend/pull/360"
"Event Streams",359,"fix: SSE Gateway CORS - credentials와 함께 사용 시 특정 origin 필요","2026-01-09T11:21:23Z","cors","https://github.com/eco2-team/backend/pull/359"
"Workers",358,"fix(character-worker): gevent pool 호환을 위해 동기 DB 세션 사용","2026-01-09T09:11:28Z","fix","https://github.com/eco2-team/backend/pull/358"
"Secrets / Config",357,"fix(secrets): users namespace dockerhub-secret ExternalSecret 추가","2026-01-09T08:46:54Z","fix","https://github.com/eco2-team/backend/pull/357"
"Workers",356,"fix(scan-worker): kombu publish 직렬화 에러 수정","2026-01-09T08:33:47Z","fix","https://github.com/eco2-team/backend/pull/356"
"Message Queue",355,"fix(scan-worker): Celery send_task exchange 파라미터 무시 문제 해결","2026-01-09T08:20:01Z","fix","https://github.com/eco2-team/backend/pull/355"
"Workers",354,"fix(workers): reward_character_task autodiscover 누락 수정","2026-01-09T08:04:31Z","fix","https://github.com/eco2-team/backend/pull/354"
